sample	R1	R2	score
Edzell_Blue	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_049_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_049_S1_L005_R2_001.fastq.gz	-1
Electra	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_7_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_7_S1_L005_R2_001.fastq.gz	1
Elland_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_007_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_007_S1_L005_R2_001.fastq.gz	-1
Estima_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_12_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_12_S1_L005_R2_001.fastq.gz	-1
Eurostar	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_29_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_29_S1_L005_R2_001.fastq.gz	-1
Favorite	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_90_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_90_S1_L005_R2_001.fastq.gz	-1
Fontane	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/Fontane_S8_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/Fontane_S8_L001_R2_001.fastq.gz	-1
Gemson_tp50_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_8_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_8_S1_L005_R2_001.fastq.gz	1
Hermes_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_16_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_16_S1_L005_R2_001.fastq.gz	-1
Inca_Bella	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_17_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_17_S1_L005_R2_001.fastq.gz	-1
Innovator_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_18_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_18_S1_L005_R2_001.fastq.gz	-1
Ivetta_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_012_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_012_S1_L005_R2_001.fastq.gz	-1
Jelly_tp50_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_9_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_9_S1_L005_R2_001.fastq.gz	-1
Kelly_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_22_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_22_S1_L005_R2_001.fastq.gz	-1
Kennebec	/mnt/shared/projects/jhi/potato/201802_RenSeq_NC11-23/RawData/NC-P16_S6_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201802_RenSeq_NC11-23/RawData/NC-P16_S6_L001_R2_001.fastq.gz	-1
King_Edward	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/King-Edward_S11_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/King-Edward_S11_L001_R2_001.fastq.gz	-1
KING_RUSSET	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_043_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/14062022_Arbor_RenSeq/8295-JK-1_043_S1_L005_R2_001.fastq.gz	-1
Lady_Amarilla	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/23022022_Arbor_RenSeq/7638-JK-6_049_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202201_RESAS_PCN/23022022_Arbor_RenSeq/7638-JK-6_049_S1_L005_R2_001.fastq.gz	1
Lady_Anna	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_24_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_24_S1_L005_R2_001.fastq.gz	1
Lady_Clair	/mnt/shared/projects/jhi/potato/201908_RenSeq_Ma12/RawData/Lady-Claire_S9_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201908_RenSeq_Ma12/RawData/Lady-Claire_S9_L001_R2_001.fastq.gz	-1
Lady_Rosetta_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_26_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_26_S1_L005_R2_001.fastq.gz	1
LaStrada	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_23_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_23_S1_L005_R2_001.fastq.gz	-1
Lionheart	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_27_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_27_S1_L005_R2_001.fastq.gz	1
Lorimer_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_044_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_044_S1_L005_R2_001.fastq.gz	1
Manitou	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_28_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_28_S1_L005_R2_001.fastq.gz	-1
Marfona_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_29_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_29_S1_L005_R2_001.fastq.gz	-1
Maris_Bard	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_10_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_10_S1_L005_R2_001.fastq.gz	-1
Maris_Peer_tp50_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_11_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_11_S1_L005_R2_001.fastq.gz	-1
Maris_Piper_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_31_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_31_S1_L005_R2_001.fastq.gz	-1
Markies_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_32_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_32_S1_L005_R2_001.fastq.gz	-1
Mayan_Rose	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_33_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_33_S1_L005_R2_001.fastq.gz	-1
Melody	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/Melody_S9_L001_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/201705_RenSeq/RawData/UKTop20_set2/Melody_S9_L001_R2_001.fastq.gz	-1
Mozart	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_12_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina/5930-SN_1_12_S1_L005_R2_001.fastq.gz	-1
